Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
A006850100_136496_1	A006850100_136496_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	57026236.0	0.0	101.0	50.0	14.736911883568238	101.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass
A006850100_136496_2	A006850100_136496_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	57026236.0	0.0	101.0	50.0	19.170823949391693	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
A006850100_136498_1	A006850100_136498_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	59689519.0	0.0	101.0	50.0	16.758143522470277	101.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	pass
A006850100_136498_2	A006850100_136498_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	59689519.0	0.0	101.0	50.0	19.018012571640742	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
A006850100_136500_1	A006850100_136500_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	58163251.0	0.0	101.0	49.0	17.82704424604664	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
A006850100_136500_2	A006850100_136500_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	58163251.0	0.0	101.0	48.0	21.087947983147533	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
A006850100_136502_1	A006850100_136502_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	64992461.0	0.0	101.0	49.0	20.91101788614281	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
A006850100_136502_2	A006850100_136502_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	64992461.0	0.0	101.0	49.0	22.5546117992449	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
A006850100_136504_1	A006850100_136504_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	57096363.0	0.0	101.0	49.0	20.954806326333028	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
A006850100_136504_2	A006850100_136504_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	57096363.0	0.0	101.0	48.0	26.464981863272165	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
A006850100_136506_1	A006850100_136506_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	64688396.0	0.0	101.0	49.0	18.019407824283736	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
A006850100_136506_2	A006850100_136506_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	64688396.0	0.0	101.0	48.0	20.465357100142278	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
A006850100_136508_1	A006850100_136508_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	68676092.0	0.0	101.0	48.0	16.0507498177514	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
A006850100_136508_2	A006850100_136508_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	68676092.0	0.0	101.0	47.0	18.770862962033465	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
A006850100_136510_1	A006850100_136510_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	59829506.0	0.0	101.0	46.0	13.586900202093148	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
A006850100_136510_2	A006850100_136510_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	59829506.0	0.0	101.0	46.0	15.558536559920855	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
A006850100_136512_1	A006850100_136512_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	57746429.0	0.0	101.0	47.0	15.693382419170382	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
A006850100_136512_2	A006850100_136512_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	57746429.0	0.0	101.0	47.0	19.405967946539064	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
A006850100_136514_1	A006850100_136514_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	57947346.0	0.0	101.0	49.0	18.669764271103734	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
A006850100_136514_2	A006850100_136514_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	57947346.0	0.0	101.0	49.0	20.626228240346258	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass
