Sample	Salmon_mqc-generalstats-salmon-percent_mapped	Salmon_mqc-generalstats-salmon-num_mapped	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
A006850100_136496	51.029356031844706	29100121	41.98	23942115.0					
A006850100_136496_1					85.26308811643176	50.0	101.0	27.27272727272727	57026236.0
A006850100_136496_2					80.82917605060831	50.0	101.0	27.27272727272727	57026236.0
A006850100_136498	50.3222868993131	30037131	45.46	27132032.0					
A006850100_136498_1					83.24185647752972	50.0	101.0	18.181818181818183	59689519.0
A006850100_136498_2					80.98198742835926	50.0	101.0	18.181818181818183	59689519.0
A006850100_136500	48.49376284004482	28205549	43.21	25134468.0					
A006850100_136500_1					82.17295575395336	49.0	101.0	18.181818181818183	58163251.0
A006850100_136500_2					78.91205201685247	48.0	101.0	18.181818181818183	58163251.0
A006850100_136502	56.03202654535578	36416593	53.44	34731863.0					
A006850100_136502_1					79.08898211385718	49.0	101.0	18.181818181818183	64992461.0
A006850100_136502_2					77.4453882007551	49.0	101.0	18.181818181818183	64992461.0
A006850100_136504	51.2064700163126	29237032	45.21	25815924.0					
A006850100_136504_1					79.04519367366697	49.0	101.0	18.181818181818183	57096363.0
A006850100_136504_2					73.53501813672784	48.0	101.0	27.27272727272727	57096363.0
A006850100_136506	49.060454366498746	31736421	44.7	28917725.0					
A006850100_136506_1					81.98059217571627	49.0	101.0	18.181818181818183	64688396.0
A006850100_136506_2					79.53464289985772	48.0	101.0	18.181818181818183	64688396.0
A006850100_136508	38.06852900132989	26143978	35.55	24412100.0					
A006850100_136508_1					83.9492501822486	48.0	101.0	18.181818181818183	68676092.0
A006850100_136508_2					81.22913703796654	47.0	101.0	18.181818181818183	68676092.0
A006850100_136510	26.443444142761262	15820982	25.77	15415712.0					
A006850100_136510_1					86.41309979790685	46.0	101.0	18.181818181818183	59829506.0
A006850100_136510_2					84.44146344007915	46.0	101.0	18.181818181818183	59829506.0
A006850100_136512	34.017355428159895	19643808	30.91	17850184.0					
A006850100_136512_1					84.30661758082962	47.0	101.0	18.181818181818183	57746429.0
A006850100_136512_2					80.59403205346094	47.0	101.0	18.181818181818183	57746429.0
A006850100_136514	49.600875594889196	28742391	45.12	26143528.0					
A006850100_136514_1					81.33023572889627	49.0	101.0	18.181818181818183	57947346.0
A006850100_136514_2					79.37377175965375	49.0	101.0	18.181818181818183	57947346.0
A006850100_136516	49.42172679174424	29153589	45.08	26589710.0					
A006850100_136516_1					80.52723797884417	49.0	101.0	18.181818181818183	58989418.0
A006850100_136516_2					77.73523622868147	49.0	101.0	18.181818181818183	58989418.0
A006850100_136518	28.635110834836052	16364266	28.34	16197941.0					
A006850100_136518_1					84.15820762725937	57.0	101.0	27.27272727272727	57147556.0
A006850100_136518_2					82.30901528554872	57.0	101.0	27.27272727272727	57147556.0
A006850100_136520	40.96210007420468	25990525	35.85	22744672.0					
A006850100_136520_1					84.89197960068815	49.0	101.0	27.27272727272727	63450177.0
A006850100_136520_2					81.38776328602064	48.0	101.0	18.181818181818183	63450177.0
A006850100_136522	38.278415531816314	26652739	35.55	24754746.0					
A006850100_136522_1					83.79725602364738	48.0	101.0	18.181818181818183	69628637.0
A006850100_136522_2					82.02747844559302	48.0	101.0	18.181818181818183	69628637.0
A006850100_136524	39.53418430211529	25650218	36.03	23378574.0					
A006850100_136524_1					83.6571509899296	48.0	101.0	18.181818181818183	64881111.0
A006850100_136524_2					81.37739591031067	48.0	101.0	18.181818181818183	64881111.0
A006850100_136526	68.1845385134505	43579693	63.45	40553926.0					
A006850100_136526_1					77.27309065659907	52.0	101.0	27.27272727272727	63914333.0
A006850100_136526_2					76.21027800655581	51.0	101.0	27.27272727272727	63914333.0
A006850100_136528	67.26251951993886	37955890	62.47	35248855.0					
A006850100_136528_1					76.77936085449605	52.0	101.0	27.27272727272727	56429480.0
A006850100_136528_2					75.91591479090675	51.0	101.0	27.27272727272727	56429480.0
A006850100_136530	67.26101318323134	38800143	60.54	34921982.0					
A006850100_136530_1					76.38402592735653	52.0	101.0	36.36363636363637	57685933.0
A006850100_136530_2					74.61850635222726	51.0	101.0	18.181818181818183	57685933.0
A006850100_136532	60.41785035042001	32471361	55.81	29997441.0					
A006850100_136532_1					77.44324194886977	51.0	101.0	36.36363636363637	53744648.0
A006850100_136532_2					76.39964586697936	51.0	101.0	27.27272727272727	53744648.0
A006850100_136534	61.679787470978866	40673963	56.64	37353333.0					
A006850100_136534_1					77.10269262085063	51.0	101.0	36.36363636363637	65943747.0
A006850100_136534_2					75.21716792339475	50.0	101.0	18.181818181818183	65943747.0
A006850100_136536	62.44814880980515	44090121	56.47	39867079.0					
A006850100_136536_1					78.55074540092883	51.0	101.0	36.36363636363637	70602767.0
A006850100_136536_2					76.99597208268993	51.0	101.0	27.27272727272727	70602767.0
