Sample	salmon_version	samp_type	opt_type	quant_errors	num_libraries	library_types	frag_dist_length	frag_length_mean	frag_length_sd	seq_bias_correct	gc_bias_correct	num_bias_bins	mapping_type	keep_duplicates	num_valid_targets	num_decoy_targets	num_eq_classes	serialized_eq_classes	eq_class_properties	length_classes	index_seq_hash	index_name_hash	index_seq_hash512	index_name_hash512	index_decoy_seq_hash	index_decoy_name_hash	num_bootstraps	num_processed	num_mapped	num_decoy_fragments	num_dovetail_fragments	num_fragments_filtered_vm	num_alignments_below_threshold_for_mapped_fragments_vm	percent_mapped	call	start_time	end_time
A006850100_136496	1.3.0	none	vb	[]	1	['ISF']	1001	175.81615020183517	59.476078484117785	True	True	4096	mapping	False	227224	194	547747	False	['range_factorized', 'gzipped']	[539, 719, 1197, 2358, 103053]	9d81c5b964748cd0e1f3777911c704acbab760705be451f512f64e1403f45ac9	a81f18e9487c4684c283065b87b70c9edff4b26d56892e957af352919ae7a959	03a14e172fcee6f046f762156bdfc3c5381cf97b809bf5e6a47b27b7d570a2c4ebdf9543f5fc20a0af35df31d04a9c3bc4f864c60bb9037f6bf20d988d9f6344	bc801181afc0282d41ee1483244983026cf992babdc460469af585e49d57c92597577e33cc52a9cc073234c79b701881c05eccf4c4c7482f253cf14105c609eb	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	57026236	29100121	805153	1961041	2048713	23164923	51.029356031844706	quant	Sat Nov 28 11:08:21 2020	Sat Nov 28 11:15:02 2020
A006850100_136498	1.3.0	none	vb	[]	1	['ISF']	1001	175.11685691045147	60.47190277432255	True	True	4096	mapping	False	227224	194	507390	False	['range_factorized', 'gzipped']	[539, 719, 1197, 2358, 103053]	9d81c5b964748cd0e1f3777911c704acbab760705be451f512f64e1403f45ac9	a81f18e9487c4684c283065b87b70c9edff4b26d56892e957af352919ae7a959	03a14e172fcee6f046f762156bdfc3c5381cf97b809bf5e6a47b27b7d570a2c4ebdf9543f5fc20a0af35df31d04a9c3bc4f864c60bb9037f6bf20d988d9f6344	bc801181afc0282d41ee1483244983026cf992babdc460469af585e49d57c92597577e33cc52a9cc073234c79b701881c05eccf4c4c7482f253cf14105c609eb	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	59689519	30037131	1053483	2476255	2087037	22722007	50.3222868993131	quant	Sat Nov 28 11:15:05 2020	Sat Nov 28 11:21:11 2020
A006850100_136500	1.3.0	none	vb	[]	1	['ISF']	1001	172.25789174841984	58.50586424116824	True	True	4096	mapping	False	227224	194	567740	False	['range_factorized', 'gzipped']	[539, 719, 1197, 2358, 103053]	9d81c5b964748cd0e1f3777911c704acbab760705be451f512f64e1403f45ac9	a81f18e9487c4684c283065b87b70c9edff4b26d56892e957af352919ae7a959	03a14e172fcee6f046f762156bdfc3c5381cf97b809bf5e6a47b27b7d570a2c4ebdf9543f5fc20a0af35df31d04a9c3bc4f864c60bb9037f6bf20d988d9f6344	bc801181afc0282d41ee1483244983026cf992babdc460469af585e49d57c92597577e33cc52a9cc073234c79b701881c05eccf4c4c7482f253cf14105c609eb	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	58163251	28205549	978566	2596511	2465286	26555180	48.49376284004482	quant	Sat Nov 28 11:21:15 2020	Sat Nov 28 11:27:25 2020
A006850100_136502	1.3.0	none	vb	[]	1	['ISF']	1001	173.70156680591955	59.39700474646632	True	True	4096	mapping	False	227224	194	585526	False	['range_factorized', 'gzipped']	[539, 719, 1197, 2358, 103053]	9d81c5b964748cd0e1f3777911c704acbab760705be451f512f64e1403f45ac9	a81f18e9487c4684c283065b87b70c9edff4b26d56892e957af352919ae7a959	03a14e172fcee6f046f762156bdfc3c5381cf97b809bf5e6a47b27b7d570a2c4ebdf9543f5fc20a0af35df31d04a9c3bc4f864c60bb9037f6bf20d988d9f6344	bc801181afc0282d41ee1483244983026cf992babdc460469af585e49d57c92597577e33cc52a9cc073234c79b701881c05eccf4c4c7482f253cf14105c609eb	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	64992461	36416593	1457009	3075250	2636182	26397732	56.03202654535578	quant	Sat Nov 28 11:27:28 2020	Sat Nov 28 11:34:01 2020
A006850100_136504	1.3.0	none	vb	[]	1	['ISF']	1001	171.55155178948957	57.36261786586987	True	True	4096	mapping	False	227224	194	611839	False	['range_factorized', 'gzipped']	[539, 719, 1197, 2358, 103053]	9d81c5b964748cd0e1f3777911c704acbab760705be451f512f64e1403f45ac9	a81f18e9487c4684c283065b87b70c9edff4b26d56892e957af352919ae7a959	03a14e172fcee6f046f762156bdfc3c5381cf97b809bf5e6a47b27b7d570a2c4ebdf9543f5fc20a0af35df31d04a9c3bc4f864c60bb9037f6bf20d988d9f6344	bc801181afc0282d41ee1483244983026cf992babdc460469af585e49d57c92597577e33cc52a9cc073234c79b701881c05eccf4c4c7482f253cf14105c609eb	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	57096363	29237032	1310565	2307098	3290200	30556269	51.2064700163126	quant	Sat Nov 28 11:34:05 2020	Sat Nov 28 11:40:35 2020
A006850100_136506	1.3.0	none	vb	[]	1	['ISF']	1001	170.84491904317517	56.61360761868658	True	True	4096	mapping	False	227224	194	630512	False	['range_factorized', 'gzipped']	[539, 719, 1197, 2358, 103053]	9d81c5b964748cd0e1f3777911c704acbab760705be451f512f64e1403f45ac9	a81f18e9487c4684c283065b87b70c9edff4b26d56892e957af352919ae7a959	03a14e172fcee6f046f762156bdfc3c5381cf97b809bf5e6a47b27b7d570a2c4ebdf9543f5fc20a0af35df31d04a9c3bc4f864c60bb9037f6bf20d988d9f6344	bc801181afc0282d41ee1483244983026cf992babdc460469af585e49d57c92597577e33cc52a9cc073234c79b701881c05eccf4c4c7482f253cf14105c609eb	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	64688396	31736421	1240946	2614092	2561158	25386641	49.060454366498746	quant	Sat Nov 28 11:40:38 2020	Sat Nov 28 11:47:17 2020
A006850100_136508	1.3.0	none	vb	[]	1	['ISF']	1001	170.66920745185868	57.60421339511724	True	True	4096	mapping	False	227224	194	534965	False	['range_factorized', 'gzipped']	[539, 719, 1197, 2358, 103053]	9d81c5b964748cd0e1f3777911c704acbab760705be451f512f64e1403f45ac9	a81f18e9487c4684c283065b87b70c9edff4b26d56892e957af352919ae7a959	03a14e172fcee6f046f762156bdfc3c5381cf97b809bf5e6a47b27b7d570a2c4ebdf9543f5fc20a0af35df31d04a9c3bc4f864c60bb9037f6bf20d988d9f6344	bc801181afc0282d41ee1483244983026cf992babdc460469af585e49d57c92597577e33cc52a9cc073234c79b701881c05eccf4c4c7482f253cf14105c609eb	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	68676092	26143978	1089195	2337493	2663118	26092522	38.06852900132989	quant	Sat Nov 28 11:47:20 2020	Sat Nov 28 11:53:39 2020
A006850100_136510	1.3.0	none	vb	[]	1	['ISF']	1001	170.2769953639661	56.61411407080603	True	True	4096	mapping	False	227224	194	427563	False	['range_factorized', 'gzipped']	[539, 719, 1197, 2358, 103053]	9d81c5b964748cd0e1f3777911c704acbab760705be451f512f64e1403f45ac9	a81f18e9487c4684c283065b87b70c9edff4b26d56892e957af352919ae7a959	03a14e172fcee6f046f762156bdfc3c5381cf97b809bf5e6a47b27b7d570a2c4ebdf9543f5fc20a0af35df31d04a9c3bc4f864c60bb9037f6bf20d988d9f6344	bc801181afc0282d41ee1483244983026cf992babdc460469af585e49d57c92597577e33cc52a9cc073234c79b701881c05eccf4c4c7482f253cf14105c609eb	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	59829506	15820982	746754	1341515	1797639	16740812	26.443444142761262	quant	Sat Nov 28 11:53:42 2020	Sat Nov 28 11:58:55 2020
A006850100_136512	1.3.0	none	vb	[]	1	['ISF']	1001	174.13098753754966	58.86622229196138	True	True	4096	mapping	False	227224	194	513174	False	['range_factorized', 'gzipped']	[539, 719, 1197, 2358, 103053]	9d81c5b964748cd0e1f3777911c704acbab760705be451f512f64e1403f45ac9	a81f18e9487c4684c283065b87b70c9edff4b26d56892e957af352919ae7a959	03a14e172fcee6f046f762156bdfc3c5381cf97b809bf5e6a47b27b7d570a2c4ebdf9543f5fc20a0af35df31d04a9c3bc4f864c60bb9037f6bf20d988d9f6344	bc801181afc0282d41ee1483244983026cf992babdc460469af585e49d57c92597577e33cc52a9cc073234c79b701881c05eccf4c4c7482f253cf14105c609eb	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	57746429	19643808	948223	1432134	2430872	21676397	34.017355428159895	quant	Sat Nov 28 11:58:57 2020	Sat Nov 28 12:04:35 2020
A006850100_136514	1.3.0	none	vb	[]	1	['ISF']	1001	175.97402032550136	60.23251640178269	True	True	4096	mapping	False	227224	194	583703	False	['range_factorized', 'gzipped']	[539, 719, 1197, 2358, 103053]	9d81c5b964748cd0e1f3777911c704acbab760705be451f512f64e1403f45ac9	a81f18e9487c4684c283065b87b70c9edff4b26d56892e957af352919ae7a959	03a14e172fcee6f046f762156bdfc3c5381cf97b809bf5e6a47b27b7d570a2c4ebdf9543f5fc20a0af35df31d04a9c3bc4f864c60bb9037f6bf20d988d9f6344	bc801181afc0282d41ee1483244983026cf992babdc460469af585e49d57c92597577e33cc52a9cc073234c79b701881c05eccf4c4c7482f253cf14105c609eb	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	57947346	28742391	1145057	2085956	2138131	20306852	49.600875594889196	quant	Sat Nov 28 12:04:38 2020	Sat Nov 28 12:10:41 2020
