Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
A006850100_136496	57026236.0	202.0	23942115.0	41.98	200.29	12916891.0	12908086.0	12803097.0	96144.0	11332.0	6318.0	0.15	0.01	1.72	0.01	1.59	4884216.0	8.56	53781.0	0.09	0.05	49.25	0.05	28517	28089090	28517
A006850100_136498	59689519.0	202.0	27132032.0	45.46	200.14	14805061.0	14794735.0	14676755.0	108151.0	12976.0	7179.0	0.15	0.01	1.78	0.01	1.59	5313608.0	8.9	53503.0	0.09	0.05	45.46	0.04	29847	27136652	23877
A006850100_136500	58163251.0	202.0	25134468.0	43.21	199.98	13947754.0	13938344.0	13824514.0	103362.0	13193.0	6685.0	0.15	0.01	1.74	0.01	1.59	4072934.0	7.0	52063.0	0.09	0.05	49.6	0.04	29084	28851435	23267
A006850100_136502	64992461.0	202.0	34731863.0	53.44	200.13	19505646.0	19493891.0	19329045.0	149209.0	18437.0	8955.0	0.15	0.01	1.76	0.01	1.57	4908170.0	7.55	67089.0	0.1	0.05	38.81	0.05	32492	25220355	32492
A006850100_136504	57096363.0	202.0	25815924.0	45.21	200.08	14009756.0	14001099.0	13885321.0	104912.0	13327.0	6196.0	0.16	0.01	1.74	0.01	1.5	3559122.0	6.23	49134.0	0.09	0.06	48.34	0.06	34262	27603659	34262
A006850100_136506	64688396.0	202.0	28917725.0	44.7	200.11	16115547.0	16105954.0	15971062.0	121638.0	15533.0	7314.0	0.15	0.01	1.74	0.01	1.58	4222943.0	6.53	58959.0	0.09	0.05	48.6	0.03	32343	31437021	19406
A006850100_136508	68676092.0	202.0	24412100.0	35.55	200.01	13600424.0	13590815.0	13477155.0	103330.0	13553.0	6386.0	0.15	0.01	1.75	0.01	1.58	3218597.0	4.69	43082.0	0.06	0.04	59.62	0.04	27472	40947369	27472
A006850100_136510	59829506.0	202.0	15415712.0	25.77	200.12	8538064.0	8531716.0	8459558.0	65524.0	8588.0	4394.0	0.15	0.01	1.72	0.01	1.59	1903619.0	3.18	26592.0	0.04	0.02	70.96	0.02	11967	42459649	11967
A006850100_136512	57746429.0	202.0	17850184.0	30.91	200.2	9628084.0	9620599.0	9539467.0	74279.0	9550.0	4788.0	0.16	0.01	1.74	0.01	1.59	3007853.0	5.21	40293.0	0.07	0.04	63.73	0.05	23095	36796135	28869
A006850100_136514	57947346.0	202.0	26143528.0	45.12	200.28	14063272.0	14053636.0	13935706.0	106532.0	14385.0	6649.0	0.15	0.01	1.74	0.01	1.58	4632200.0	7.99	49613.0	0.09	0.05	46.71	0.04	28977	27069847	23181
