Sample	Salmon_mqc-generalstats-salmon-percent_mapped	Salmon_mqc-generalstats-salmon-num_mapped	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
A006200183_156268	58.916927926990546	31284874	56.6	30057063.0					
A006200183_156268_1					74.09919218578489	48.0	101.0	18.181818181818183	53099975.0
A006200183_156268_2					70.90132527962096	48.0	101.0	18.181818181818183	53099975.0
A006200183_156271	56.58239399366997	28881172	54.16	27643674.0					
A006200183_156271_1					73.90045294330041	48.0	101.0	18.181818181818183	51042683.0
A006200183_156271_2					70.66334240104115	48.0	101.0	18.181818181818183	51042683.0
A006200183_156273	58.940271747095515	37357058	56.99	36122820.0					
A006200183_156273_1					75.68334973605207	48.0	101.0	18.181818181818183	63381211.0
A006200183_156273_2					72.85536026123715	49.0	101.0	18.181818181818183	63381211.0
A006200183_156275	60.87029438650945	31551425	55.85	28950327.0					
A006200183_156275_1					75.56472471599913	49.0	101.0	20.0	51833863.0
A006200183_156275_2					72.64317796296909	50.0	101.0	10.0	51833863.0
A006200183_156277	58.597544022931395	28590190	57.82	28212013.0					
A006200183_156277_1					72.24537095780724	48.0	101.0	18.181818181818183	48790765.0
A006200183_156277_2					69.07479393505426	48.0	101.0	18.181818181818183	48790765.0
A006200183_156279	60.11373738664298	29067515	58.01	28052071.0					
A006200183_156279_1					72.42947650185758	48.0	101.0	18.181818181818183	48354197.0
A006200183_156279_2					68.70496547287365	48.0	101.0	18.181818181818183	48354197.0
