Sample	Salmon_mqc-generalstats-salmon-percent_mapped	Salmon_mqc-generalstats-salmon-num_mapped	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
K002000269_94802	82.22657269634148	52071574	85.18	53941722.0					
K002000269_94802_1					66.30495655136642	48.0	75.472264758971	18.181818181818183	63326942.0
K002000269_94802_2					64.85213845929545	49.0	75.42613673024034	27.27272727272727	63326942.0
K002000269_94804	84.33333415002956	48877143	84.88	49194557.0					
K002000269_94804_1					65.99787166678958	49.0	75.4663738270071	18.181818181818183	57957086.0
K002000269_94804_2					64.9722063794281	50.0	75.41598889219517	27.27272727272727	57957086.0
K002000269_94806	83.44479301540723	45584325	84.26	46028190.0					
K002000269_94806_1					65.50565869921225	49.0	75.44577201662645	27.27272727272727	54628124.0
K002000269_94806_2					63.959006190925884	50.0	75.39826813382791	27.27272727272727	54628124.0
K002000269_94844	83.52025024536012	44508825	85.32	45467607.0					
K002000269_94844_1					67.25014550940915	48.0	75.48088973951315	18.181818181818183	53291058.0
K002000269_94844_2					64.47252657251653	49.0	75.43436157713363	36.36363636363637	53291058.0
K002000269_94846	82.11591828096509	57828457	85.18	59984721.0					
K002000269_94846_1					68.7011679414249	48.0	75.47020781121428	18.181818181818183	70422956.0
K002000269_94846_2					65.83156574408432	49.0	75.4235537059819	36.36363636363637	70422956.0
K002000269_94848	83.74757289731829	55077572	84.52	55586476.0					
K002000269_94848_1					69.1335088858853	48.0	75.47114269431924	18.181818181818183	65766171.0
K002000269_94848_2					66.07106266810814	49.0	75.42347894938266	36.36363636363637	65766171.0
K002000269_94850	82.83201326113547	61785642	85.69	63919495.0					
K002000269_94850_1					68.18222507387748	49.0	75.48739905368039	18.181818181818183	74591501.0
K002000269_94850_2					65.5904581687947	49.0	75.43930958032337	27.27272727272727	74591501.0
K002000269_94852	80.68280197432233	56049618	86.67	60211604.0					
K002000269_94852_1					65.41477353948792	48.0	75.4989928903932	18.181818181818183	69469102.0
K002000269_94852_2					62.503425685025185	49.0	75.45228811220275	18.181818181818183	69469102.0
K002000269_94854	81.12500631967731	62627980	83.66	64586217.0					
K002000269_94854_1					67.78663121441096	49.0	75.45401178426975	27.27272727272727	77199353.0
K002000269_94854_2					64.89307800469973	50.0	75.40855403282978	27.27272727272727	77199353.0
