Sample	Salmon_mqc-generalstats-salmon-percent_mapped	Salmon_mqc-generalstats-salmon-num_mapped	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
A006200071_119401	65.54394513840029	47187875	73.14	52653857.0					
A006200071_119401_1					67.06999592450146	47.0	101.0	27.27272727272727	71994255.0
A006200071_119401_2					63.10622996534886	47.0	101.0	18.181818181818183	71994255.0
A006200071_119403	63.86186850041716	41316798	71.61	46329756.0					
A006200071_119403_1					66.96250538312435	47.0	101.0	27.27272727272727	64697133.0
A006200071_119403_2					63.287518098431484	47.0	101.0	18.181818181818183	64697133.0
A006200071_119405	62.54490798678473	37420342	68.22	40815338.0					
A006200071_119405_1					67.01562842270403	47.0	101.0	27.27272727272727	59829558.0
A006200071_119405_2					62.26775613481271	47.0	101.0	18.181818181818183	59829558.0
A006200071_119407	41.742635994828966	28120666	49.62	33427429.0					
A006200071_119407_1					73.10446727628495	46.0	101.0	27.27272727272727	67366771.0
A006200071_119407_2					67.97915320308036	46.0	101.0	18.181818181818183	67366771.0
A006200071_119409	36.95226945346615	26319299	44.03	31361981.0					
A006200071_119409_1					76.81529648815025	45.0	101.0	27.27272727272727	71225122.0
A006200071_119409_2					73.20651775448431	45.0	101.0	18.181818181818183	71225122.0
A006200071_119411	39.676793300717605	26004800	41.79	27390542.0					
A006200071_119411_1					77.88929106428833	46.0	101.0	27.27272727272727	65541587.0
A006200071_119411_2					75.01885354099143	46.0	101.0	18.181818181818183	65541587.0
A006200071_119413	54.697811863183766	44023186	57.17	46012826.0					
A006200071_119413_1					73.13068481202222	46.0	101.0	27.27272727272727	80484364.0
A006200071_119413_2					69.02718226347193	46.0	101.0	18.181818181818183	80484364.0
A006200071_119415	48.85884086927968	30197639	55.27	34158677.0					
A006200071_119415_1					71.15023209191446	46.0	101.0	27.27272727272727	61805885.0
A006200071_119415_2					67.2494221464556	46.0	101.0	18.181818181818183	61805885.0
A006200071_119417	51.13652415039112	34138720	54.07	36095842.0					
A006200071_119417_1					72.07580700049382	46.0	101.0	27.27272727272727	66759954.0
A006200071_119417_2					68.30501035028809	46.0	101.0	18.181818181818183	66759954.0
A006200071_119419	59.94445445079859	38666246	67.15	43314297.0					
A006200071_119419_1					65.61734015111438	47.0	101.0	27.27272727272727	64503458.0
A006200071_119419_2					61.330574945326596	47.0	101.0	18.181818181818183	64503458.0
A006200071_119421	62.16692197270923	38258253	68.99	42459583.0					
A006200071_119421_1					64.95234423688811	47.0	101.0	27.27272727272727	61541173.0
A006200071_119421_2					60.86371373303319	47.0	101.0	18.181818181818183	61541173.0
A006200071_119423	56.556676216639566	35938958	59.12	37567021.0					
A006200071_119423_1					69.67431276211386	46.0	101.0	27.27272727272727	63545032.0
A006200071_119423_2					65.64651939826913	46.0	101.0	18.181818181818183	63545032.0
A006200071_119425	52.122578490245395	38087132	56.17	41045952.0					
A006200071_119425_1					73.81256065556738	46.0	101.0	27.27272727272727	73072233.0
A006200071_119425_2					69.87271227628393	46.0	101.0	18.181818181818183	73072233.0
A006200071_119427	50.860012205863704	33366474	54.21	35563692.0					
A006200071_119427_1					73.59335562594723	46.0	101.0	27.27272727272727	65604534.0
A006200071_119427_2					69.67897813228912	46.0	101.0	18.181818181818183	65604534.0
A006200071_119429	50.29596419842747	38752715	55.06	42425894.0					
A006200071_119429_1					73.48029334545797	46.0	101.0	27.27272727272727	77049353.0
A006200071_119429_2					69.71717352717943	46.0	101.0	18.181818181818183	77049353.0
A006200071_119431	38.697676858838314	26848276	46.8	32468364.0					
A006200071_119431_1					74.26938685093472	45.0	101.0	27.27272727272727	69379555.0
A006200071_119431_2					70.54479249326862	45.0	101.0	18.181818181818183	69379555.0
A006200071_119433	38.93262772981075	24790661	45.83	29184657.0					
A006200071_119433_1					74.68325478702319	45.0	101.0	27.27272727272727	63675797.0
A006200071_119433_2					70.62362626483612	45.0	101.0	18.181818181818183	63675797.0
A006200071_119435	42.05318279426999	29189385	47.54	33000049.0					
A006200071_119435_1					74.76596346592751	46.0	101.0	27.27272727272727	69410644.0
A006200071_119435_2					71.00191678651083	46.0	101.0	18.181818181818183	69410644.0
