Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
A006200071_119401	71994255.0	202.0	52653857.0	73.14	200.15	25839694.0	25820544.0	25601284.0	198926.0	25821.0	13663.0	0.2	0.01	1.75	0.01	1.61	5684028.0	7.9	123974.0	0.17	0.09	18.62	0.09	64783	13402831	64783
A006200071_119403	64697133.0	202.0	46329756.0	71.61	200.27	22859092.0	22841760.0	22649126.0	174722.0	23230.0	12014.0	0.2	0.01	1.74	0.01	1.63	5469382.0	8.45	97640.0	0.15	0.08	19.62	0.09	51745	12690397	58213
A006200071_119405	59829558.0	202.0	40815338.0	68.22	200.1	20108465.0	20092855.0	19922586.0	155080.0	20104.0	10695.0	0.21	0.01	1.75	0.01	1.61	4457941.0	7.45	88752.0	0.15	0.09	24.01	0.09	53827	14359873	53827
A006200071_119407	67366771.0	202.0	33427429.0	49.62	199.97	15397937.0	15383352.0	15252813.0	120825.0	15619.0	8680.0	0.25	0.01	1.81	0.01	1.67	3562736.0	5.29	74059.0	0.11	0.09	44.8	0.09	60632	30181283	60632
A006200071_119409	71225122.0	202.0	31361981.0	44.03	200.06	14696211.0	14682600.0	14560354.0	113052.0	14710.0	8095.0	0.2	0.01	1.8	0.01	1.65	3202906.0	4.5	61290.0	0.09	0.05	51.26	0.07	35616	36513467	49862
A006200071_119411	65541587.0	202.0	27390542.0	41.79	199.81	13336446.0	13326062.0	13211955.0	104276.0	13398.0	6817.0	0.2	0.01	1.73	0.01	1.56	4181804.0	6.38	128615.0	0.2	0.05	51.52	0.06	32772	33768527	39327
A006200071_119413	80484364.0	202.0	46012826.0	57.17	199.96	23128317.0	23099590.0	22902647.0	185407.0	24571.0	15692.0	0.2	0.01	1.76	0.01	1.59	5586145.0	6.94	116358.0	0.14	0.07	35.59	0.08	56347	28648292	64396
A006200071_119415	61805885.0	202.0	34158677.0	55.27	200.18	16668818.0	16646540.0	16507556.0	132142.0	17770.0	11350.0	0.2	0.01	1.79	0.01	1.64	3693812.0	5.98	59589.0	0.1	0.06	38.51	0.08	37093	23807258	49457
A006200071_119417	66759954.0	202.0	36095842.0	54.07	200.02	17612542.0	17589912.0	17441798.0	140225.0	18588.0	11931.0	0.2	0.01	1.76	0.01	1.58	4517654.0	6.77	80349.0	0.12	0.06	38.9	0.08	40061	25972634	53414
A006200071_119419	64503458.0	202.0	43314297.0	67.15	199.95	20277691.0	20248440.0	20079287.0	161630.0	22191.0	14583.0	0.21	0.01	1.78	0.01	1.6	5109294.0	7.92	94334.0	0.15	0.09	24.59	0.11	58035	15856565	70932
A006200071_119421	61541173.0	202.0	42459583.0	68.99	199.96	20610056.0	20580312.0	20406667.0	165984.0	22540.0	14865.0	0.2	0.01	1.79	0.01	1.61	4754417.0	7.73	77628.0	0.13	0.08	22.98	0.09	49242	14144905	55398
A006200071_119423	63545032.0	202.0	37567021.0	59.12	199.97	18415820.0	18390127.0	18236543.0	146500.0	20035.0	12742.0	0.2	0.01	1.77	0.01	1.57	4847838.0	7.63	89373.0	0.14	0.07	32.95	0.08	44497	20945449	50854
A006200071_119425	73072233.0	202.0	41045952.0	56.17	199.96	21081067.0	21054685.0	20878514.0	167123.0	21787.0	13643.0	0.2	0.01	1.79	0.01	1.63	4435028.0	6.07	89288.0	0.12	0.07	37.48	0.08	51160	27392337	58468
A006200071_119427	65604534.0	202.0	35563692.0	54.21	200.07	18389682.0	18365986.0	18210756.0	147586.0	19088.0	12252.0	0.19	0.01	1.8	0.01	1.62	3808139.0	5.8	74899.0	0.11	0.06	39.74	0.07	39365	26072514	45925
A006200071_119429	77049353.0	202.0	42425894.0	55.06	200.09	21365347.0	21337470.0	21157904.0	170438.0	22492.0	14513.0	0.2	0.01	1.81	0.01	1.64	4444858.0	5.77	84854.0	0.11	0.06	38.92	0.08	46227	29985884	61636
A006200071_119431	69379555.0	202.0	32468364.0	46.8	199.92	15111028.0	15085019.0	14962031.0	121693.0	15934.0	11370.0	0.22	0.01	1.87	0.01	1.71	3367844.0	4.85	60240.0	0.09	0.07	48.1	0.1	48556	33365184	69366
A006200071_119433	63675797.0	202.0	29184657.0	45.83	200.11	13846037.0	13824124.0	13708681.0	112770.0	14580.0	10006.0	0.21	0.01	1.85	0.01	1.68	2863258.0	4.5	57020.0	0.09	0.06	49.43	0.09	38206	31475347	57309
A006200071_119435	69410644.0	202.0	33000049.0	47.54	200.12	16086877.0	16063164.0	15928348.0	130078.0	16971.0	11480.0	0.2	0.01	1.81	0.01	1.63	3512313.0	5.06	63111.0	0.09	0.06	47.17	0.08	41643	32738005	55523
