E-MTAB_ENA_RUN	internal_ID	condition	E-MTAB-ID
ERR6221522	K002000269_94802	control	E-MTAB-10711
ERR6221523	K002000269_94804	control	E-MTAB-10711
ERR6221524	K002000269_94806	control	E-MTAB-10711
ERR6221525	K002000269_94844	UPF3BKO	E-MTAB-10711
ERR6221526	K002000269_94846	UPF3BKO	E-MTAB-10711
ERR6221527	K002000269_94848	UPF3BKO	E-MTAB-10711
ERR6221528	K002000269_94850	UPF3BKO_3AKD	E-MTAB-10711
ERR6221529	K002000269_94852	UPF3BKO_3AKD	E-MTAB-10711
ERR6221530	K002000269_94854	UPF3BKO_3AKD	E-MTAB-10711
ERR6222320	A006200071_119401	control	E-MTAB-10716
ERR6222321	A006200071_119403	control	E-MTAB-10716
ERR6222322	A006200071_119405	control	E-MTAB-10716
ERR6222323	A006200071_119407	UPF3BKO	E-MTAB-10716
ERR6222324	A006200071_119409	UPF3BKO	E-MTAB-10716
ERR6222325	A006200071_119411	UPF3BKO	E-MTAB-10716
ERR6222326	A006200071_119413	UPF3dKO1	E-MTAB-10716
ERR6222327	A006200071_119415	UPF3dKO1	E-MTAB-10716
ERR6222328	A006200071_119417	UPF3dKO1	E-MTAB-10716
ERR6222329	A006200071_119419	UPF3dKO1KD	E-MTAB-10716
ERR6222330	A006200071_119421	UPF3dKO1KD	E-MTAB-10716
ERR6222331	A006200071_119423	UPF3dKO1KD	E-MTAB-10716
ERR6222332	A006200071_119425	UPF3dKO2	E-MTAB-10716
ERR6222333	A006200071_119427	UPF3dKO2	E-MTAB-10716
ERR6222334	A006200071_119429	UPF3dKO2	E-MTAB-10716
ERR6222335	A006200071_119431	UPF3dKO2KD	E-MTAB-10716
ERR6222336	A006200071_119433	UPF3dKO2KD	E-MTAB-10716
ERR6222337	A006200071_119435	UPF3dKO2KD	E-MTAB-10716
ERR6222338	A006850100_136496	control	E-MTAB-10718
ERR6222339	A006850100_136498	control	E-MTAB-10718
ERR6222340	A006850100_136500	control	E-MTAB-10718
ERR6222341	A006850100_136502	UPF3A_2_14_Luc	E-MTAB-10718
ERR6222342	A006850100_136504	UPF3A_2_14_Luc	E-MTAB-10718
ERR6222343	A006850100_136506	UPF3A_2_14_Luc	E-MTAB-10718
ERR6222344	A006850100_136508	UPF3A_2_14_3B	E-MTAB-10718
ERR6222345	A006850100_136510	UPF3A_2_14_3B	E-MTAB-10718
ERR6222346	A006850100_136512	UPF3A_2_14_3B	E-MTAB-10718
ERR6222347	A006850100_136514	UPF3A_2_20_Luc	E-MTAB-10718
ERR6222348	A006850100_136516	UPF3A_2_20_Luc	E-MTAB-10718
ERR6222349	A006850100_136518	UPF3A_2_20_Luc	E-MTAB-10718
ERR6222350	A006850100_136520	UPF3A_2_20_3B	E-MTAB-10718
ERR6222351	A006850100_136522	UPF3A_2_20_3B	E-MTAB-10718
ERR6222352	A006850100_136524	UPF3A_2_20_3B	E-MTAB-10718
ERR6222353	A006850100_136526	WT	E-MTAB-10718
ERR6222354	A006850100_136528	WT	E-MTAB-10718
ERR6222355	A006850100_136530	WT	E-MTAB-10718
ERR6222356	A006850100_136532	UPF3A_OE	E-MTAB-10718
ERR6222357	A006850100_136534	UPF3A_OE	E-MTAB-10718
ERR6222358	A006850100_136536	UPF3A_OE	E-MTAB-10718
ERR7423496	A006200183_156268	control	E-MTAB-11184
ERR7423497	A006200183_156271	control	E-MTAB-11184
ERR7423498	A006200183_156273	control	E-MTAB-11184
ERR7423499	A006200183_156275	UPF3A_OE_HeLa	E-MTAB-11184
ERR7423500	A006200188_156275	UPF3A_OE_HeLa	E-MTAB-11184
ERR7423501	A006200183_156277	UPF3A_OE_HeLa	E-MTAB-11184
ERR7423502	A006200183_156279	UPF3A_OE_HeLa	E-MTAB-11184
